facility,category,explanation,n_total_deaths,0-1 days,1-3 days,3-7 days,7-14 days,14-21 days,>21 days,Unknown Age,classification
KCH,ELBW,Included in analysis,283,87,105,55,13,6,10,7,Birthweight
KCH,VLBW,Included in analysis,603,111,245,143,61,8,26,9,Birthweight
KCH,LBW,Included in analysis,530,67,173,117,85,29,38,21,Birthweight
KCH,NBW,Included in analysis,537,55,148,102,74,54,85,19,Birthweight
KCH,HBW,Included in analysis,11,2,1,3,2,1,1,1,Birthweight
KCH,Total,All deaths considered,1964,322,672,420,235,98,160,57,Birthweight
SMCH,ELBW,Included in analysis,395,209,120,28,7,4,9,18,Birthweight
SMCH,VLBW,Included in analysis,807,207,306,179,47,15,17,36,Birthweight
SMCH,LBW,Included in analysis,998,254,380,173,78,31,39,43,Birthweight
SMCH,NBW,Included in analysis,1082,352,467,108,56,13,56,30,Birthweight
SMCH,HBW,Included in analysis,20,9,5,5,0,0,1,0,Birthweight
SMCH,Total,All deaths considered,3302,1031,1278,493,188,63,122,127,Birthweight
KCH,Term-AGA,Included in analysis,415,46,112,80,57,39,67,14,SGA
KCH,Term-SGA,Included in analysis,228,14,63,50,47,18,28,8,SGA
KCH,Preterm-AGA,Included in analysis,809,160,303,167,83,30,42,24,SGA
KCH,Preterm-SGA,Included in analysis,512,102,194,123,48,11,23,11,SGA
KCH,Total,All deaths considered,1964,322,672,420,235,98,160,57,SGA
SMCH,Term-AGA,Included in analysis,689,236,291,66,31,7,33,25,SGA
SMCH,Term-SGA,Included in analysis,636,181,257,85,50,10,37,16,SGA
SMCH,Preterm-AGA,Included in analysis,1249,411,465,190,68,31,31,53,SGA
SMCH,Preterm-SGA,Included in analysis,728,203,265,152,39,15,21,33,SGA
SMCH,Total,All deaths considered,3302,1031,1278,493,188,63,122,127,SGA
